trade_id,traded_at,instrument,side,quantity,price,gross_amount,state
T-2001,2025-07-02T09:00:00Z,BTC-USD,BUY,1.00,64000.00,64000.00,SETTLED
T-2002,2025-07-02T09:05:00Z,ETH-USD,SELL,20.00,3500.00,70000.00,SETTLED
T-2003,2025-07-02T09:10:00Z,SOL-USD,BUY,500.00,150.00,75000.00,SETTLED
T-2004,2025-07-02T09:15:00Z,BTC-USD,SELL,0.30,64500.00,19350.00,SETTLED
T-2005,2025-07-02T09:20:00Z,ETH-USD,BUY,15.00,3510.00,52650.00,SETTLED
T-2006,2025-07-02T09:25:00Z,SOL-USD,SELL,200.00,151.00,30200.00,SETTLED
T-2007,2025-07-02T09:30:00Z,BTC-USD,BUY,0.10,64200.00,6420.00,SETTLED
T-2008,2025-07-02T09:35:00Z,ETH-USD,SELL,5.00,3500.00,17500.00,CANCELLED
T-2009,2025-07-02T09:40:00Z,SOL-USD,BUY,50.00,150.00,7500.00,SETTLED
T-2010,2025-07-02T09:45:00Z,BTC-USD,SELL,0.05,64000.00,3200.00,SETTLED
T-2011,2025-07-02T09:50:00Z,ETH-USD,BUY,8.00,3500.00,28000.00,SETTLED
t-2012,2025-07-02T09:55:00Z,sol-usd,sell,10.00,150.00,1500.00,settled
T-2013,2025-07-02T10:00:00Z,BTC-USD,BUY,0.02,64000.00,1280.00,SETTLED
T-2014,2025-07-02T10:05:00Z,ETH-USD,SELL,3.00,3500.00,10500.00,SETTLED
T-2015,2025-07-02T10:10:00Z,SOL-USD,BUY,20.00,150.00,3000.00,SETTLED
