reference,executed_at,symbol,direction,qty,unit_price,total,status
T-2001,2025-07-02 09:00:00,BTC-USD,B,1,64000,64000.00,SETTLED
T-2002,2025-07-02 09:05:00,ETH-USD,S,20,3500,70000.00,SETTLED
T-2003,2025-07-02 09:10:00,SOL-USD,B,500,150.0012,75000.60,SETTLED
T-2004,2025-07-02 09:25:00,BTC-USD,S,0.3,64500,19350.00,SETTLED
T-2005,2025-07-02 09:20:00,ETH-USD,B,15,3620,54300.00,SETTLED
T-2006,2025-07-02 12:25:00,SOL-USD,S,200,151,30200.00,SETTLED
T-2007,2025-07-02 09:30:00,BTC-USD,S,0.1,64200,6420.00,SETTLED
C-5001,2025-07-02 09:50:00,ETH-USD,B,8,3500,28000.00,SETTLED
T-2012,2025-07-02 09:55:00,SOL-USD,S,10,150,1500.00,SETTLED
T-2013,2025-07-02 10:00:00,BTC-USD,B,0.02,64000,1280.00,SETTLED
T-2014,2025-07-02 10:05:00,ETH-USD,S,4,3500,14000.00,SETTLED
T-2015,2025-07-02 10:10:00,SOL-USDT,B,20,150,3000.00,SETTLED
C-5099,2025-07-02 11:00:00,BTC-USD,B,0.01,64000,640.00,SETTLED
